[NX Daemon Server] - 2024-10-08T03:04:20.297Z - Started listening on: /var/folders/kt/hq5p3tp50zq8337qzf1_8w_m0000gn/T/2e387e4bf9520597c0b6/d.sock
[NX Daemon Server] - 2024-10-08T03:04:20.300Z - [WATCHER]: Subscribed to changes within: /Users/kb/Desktop/project/subject (native)
          at Module._compile (node:internal/modules/cjs/loader:1376:14)
          at Module._extensions..js (node:internal/modules/cjs/loader:1435:10)
          at require$$0.Module._extensions..js (/Users/kb/Desktop/project/subject/.pnp.cjs:32256:33)
          at Module.load (node:internal/modules/cjs/loader:1207:32)
[NX Daemon Server] - 2024-10-08T03:06:06.366Z - Time taken for 'total execution time for createProjectGraph()' 86.24016699999629ms
[NX Daemon Server] - 2024-10-08T03:06:14.758Z - Done responding to the client null
[NX Daemon Server] - 2024-10-08T03:06:14.759Z - Handled REQUEST_PROJECT_GRAPH. Handling time: 3486. Response time: 8399.
[NX Daemon Server] - 2024-10-08T03:06:14.823Z - [REQUEST]: Client Request for Project Graph Received
[NX Daemon Server] - 2024-10-08T03:06:14.829Z - [REQUEST]: Updated workspace context based on watched changes, recomputing project graph...
[NX Daemon Server] - 2024-10-08T03:06:14.829Z - [REQUEST]: 
[NX Daemon Server] - 2024-10-08T03:06:14.829Z - [REQUEST]: 
[NX Daemon Server] - 2024-10-08T03:06:14.849Z - Time taken for 'hash changed files from watcher' 5.990583999999217ms
[NX Daemon Server] - 2024-10-08T03:06:14.850Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.850Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.850Z - Handled HASH_GLOB. Handling time: 1. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:14.852Z - [REQUEST]: Responding to the client. handleGlob
[NX Daemon Server] - 2024-10-08T03:06:14.852Z - Done responding to the client handleGlob
[NX Daemon Server] - 2024-10-08T03:06:14.852Z - Handled GLOB. Handling time: 1. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:14.854Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.854Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.854Z - Handled HASH_GLOB. Handling time: 1. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:14.857Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.857Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.857Z - Handled HASH_GLOB. Handling time: 1. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:14.858Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.858Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.858Z - Handled HASH_GLOB. Handling time: 0. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:14.858Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.858Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.858Z - Handled HASH_GLOB. Handling time: 0. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:14.862Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.862Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.862Z - Handled HASH_GLOB. Handling time: 1. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:14.864Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.864Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.864Z - Handled HASH_GLOB. Handling time: 2. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:14.866Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.866Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.866Z - Handled HASH_GLOB. Handling time: 1. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:14.872Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.872Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.872Z - Handled HASH_GLOB. Handling time: 4. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:14.877Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.879Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.879Z - Handled HASH_GLOB. Handling time: 1. Response time: 2.
[NX Daemon Server] - 2024-10-08T03:06:14.885Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.885Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.885Z - Handled HASH_GLOB. Handling time: 1. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:14.893Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.893Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.893Z - Handled HASH_GLOB. Handling time: 5. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:14.897Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.897Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.897Z - Handled HASH_GLOB. Handling time: 2. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:14.903Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.903Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.903Z - Handled HASH_GLOB. Handling time: 4. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:14.908Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.908Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:14.908Z - Handled HASH_GLOB. Handling time: 1. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:17.469Z - Time taken for 'build-project-configs' 2631.335082999998ms
[NX Daemon Server] - 2024-10-08T03:06:17.485Z - Time taken for '@nx/storybook/plugin:createDependencies' 18.689291999995476ms
[NX Daemon Server] - 2024-10-08T03:06:17.490Z - Time taken for '@nx/vite/plugin:createDependencies' 25.453833999999915ms
[NX Daemon Server] - 2024-10-08T03:06:17.524Z - [REQUEST]: Responding to the client with an error. Error when preparing serialized project graph. Failed to process project graph. Run "nx reset" to fix this. Please report the issue if you keep seeing it.
Failed to process project graph. Run "nx reset" to fix this. Please report the issue if you keep seeing it.
      An error occurred while processing files for the @nx/eslint/plugin plugin.
    - libs/shared/shadcn-ui/util/eslint.config.js: Your application tried to access jsonc-eslint-parser, but it isn't declared in your dependencies; this makes the require call ambiguous and unsound.
  
  Required package: jsonc-eslint-parser
  Required by: /Users/kb/Desktop/project/subject/libs/shared/shadcn-ui/util/
  
  Require stack:
  - /Users/kb/Desktop/project/subject/libs/shared/shadcn-ui/util/eslint.config.js
      Error: Your application tried to access jsonc-eslint-parser, but it isn't declared in your dependencies; this makes the require call ambiguous and unsound.
      
      Required package: jsonc-eslint-parser
      Required by: /Users/kb/Desktop/project/subject/libs/shared/shadcn-ui/util/
      
      Require stack:
      - /Users/kb/Desktop/project/subject/libs/shared/shadcn-ui/util/eslint.config.js
          at require$$0.Module._resolveFilename (/Users/kb/Desktop/project/subject/.pnp.cjs:32213:13)
          at Module._load (node:internal/modules/cjs/loader:985:27)
          at require$$0.Module._load (/Users/kb/Desktop/project/subject/.pnp.cjs:32104:31)
          at Module.require (node:internal/modules/cjs/loader:1235:19)
          at require (node:internal/modules/helpers:176:18)
          at Object.<anonymous> (/Users/kb/Desktop/project/subject/libs/shared/shadcn-ui/util/eslint.config.js:19:15)
          at Module._compile (node:internal/modules/cjs/loader:1376:14)
          at Module._extensions..js (node:internal/modules/cjs/loader:1435:10)
          at require$$0.Module._extensions..js (/Users/kb/Desktop/project/subject/.pnp.cjs:32256:33)
          at Module.load (node:internal/modules/cjs/loader:1207:32)
[NX Daemon Server] - 2024-10-08T03:06:17.526Z - Time taken for 'total execution time for createProjectGraph()' 57.565042000001995ms
[NX Daemon Server] - 2024-10-08T03:06:19.941Z - Closed a connection. Number of open connections: 17
[NX Daemon Server] - 2024-10-08T03:06:20.065Z - Closed a connection. Number of open connections: 16
[NX Daemon Server] - 2024-10-08T03:06:20.067Z - Established a connection. Number of open connections: 17
[NX Daemon Server] - 2024-10-08T03:06:20.067Z - Established a connection. Number of open connections: 18
[NX Daemon Server] - 2024-10-08T03:06:20.067Z - Closed a connection. Number of open connections: 17
[NX Daemon Server] - 2024-10-08T03:06:20.068Z - [REQUEST]: Client Request for Project Graph Received
[NX Daemon Server] - 2024-10-08T03:06:20.076Z - [REQUEST]: Updated workspace context based on watched changes, recomputing project graph...
[NX Daemon Server] - 2024-10-08T03:06:20.076Z - [REQUEST]: 
[NX Daemon Server] - 2024-10-08T03:06:20.076Z - [REQUEST]: 
[NX Daemon Server] - 2024-10-08T03:06:20.108Z - Time taken for 'hash changed files from watcher' 7.36083299999882ms
[NX Daemon Server] - 2024-10-08T03:06:20.109Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.109Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.109Z - Handled HASH_GLOB. Handling time: 0. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:20.110Z - [REQUEST]: Responding to the client. handleGlob
[NX Daemon Server] - 2024-10-08T03:06:20.110Z - Done responding to the client handleGlob
[NX Daemon Server] - 2024-10-08T03:06:20.110Z - Handled GLOB. Handling time: 1. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:20.111Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.111Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.111Z - Handled HASH_GLOB. Handling time: 1. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:20.113Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.113Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.113Z - Handled HASH_GLOB. Handling time: 2. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:20.117Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.117Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.117Z - Handled HASH_GLOB. Handling time: 1. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:20.128Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.128Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.128Z - Handled HASH_GLOB. Handling time: 11. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:20.129Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.129Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.129Z - Handled HASH_GLOB. Handling time: 0. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:20.130Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.130Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.130Z - Handled HASH_GLOB. Handling time: 0. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:20.133Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.133Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.133Z - Handled HASH_GLOB. Handling time: 2. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:20.137Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.137Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.137Z - Handled HASH_GLOB. Handling time: 3. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:20.142Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.142Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.142Z - Handled HASH_GLOB. Handling time: 4. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:20.146Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.148Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.148Z - Handled HASH_GLOB. Handling time: 4. Response time: 2.
[NX Daemon Server] - 2024-10-08T03:06:20.157Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.157Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.157Z - Handled HASH_GLOB. Handling time: 6. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:20.163Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.163Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.163Z - Handled HASH_GLOB. Handling time: 1. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:20.168Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.169Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.169Z - Handled HASH_GLOB. Handling time: 3. Response time: 1.
[NX Daemon Server] - 2024-10-08T03:06:20.175Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.176Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:20.176Z - Handled HASH_GLOB. Handling time: 0. Response time: 1.
[NX Daemon Server] - 2024-10-08T03:06:22.512Z - Closed a connection. Number of open connections: 16
[NX Daemon Server] - 2024-10-08T03:06:22.584Z - Established a connection. Number of open connections: 17
[NX Daemon Server] - 2024-10-08T03:06:22.585Z - Established a connection. Number of open connections: 18
[NX Daemon Server] - 2024-10-08T03:06:22.585Z - Closed a connection. Number of open connections: 17
[NX Daemon Server] - 2024-10-08T03:06:22.585Z - [REQUEST]: Client Request for Project Graph Received
[NX Daemon Server] - 2024-10-08T03:06:22.585Z - [REQUEST]: Updated workspace context based on watched changes, recomputing project graph...
[NX Daemon Server] - 2024-10-08T03:06:22.585Z - [REQUEST]: 
[NX Daemon Server] - 2024-10-08T03:06:22.585Z - [REQUEST]: 
[NX Daemon Server] - 2024-10-08T03:06:22.611Z - Time taken for 'hash changed files from watcher' 0.17250000000058208ms
[NX Daemon Server] - 2024-10-08T03:06:22.613Z - [REQUEST]: Responding to the client. handleGlob
[NX Daemon Server] - 2024-10-08T03:06:22.614Z - Done responding to the client handleGlob
[NX Daemon Server] - 2024-10-08T03:06:22.614Z - Handled GLOB. Handling time: 1. Response time: 1.
[NX Daemon Server] - 2024-10-08T03:06:22.625Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.625Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.625Z - Handled HASH_GLOB. Handling time: 0. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:22.626Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.626Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.626Z - Handled HASH_GLOB. Handling time: 0. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:22.630Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.630Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.630Z - Handled HASH_GLOB. Handling time: 3. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:22.634Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.634Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.634Z - Handled HASH_GLOB. Handling time: 3. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:22.634Z - Time taken for 'build-project-configs' 24.24945800000569ms
[NX Daemon Server] - 2024-10-08T03:06:22.634Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.634Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.634Z - Handled HASH_GLOB. Handling time: 0. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:22.635Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.635Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.635Z - Handled HASH_GLOB. Handling time: 0. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:22.637Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.637Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.637Z - Handled HASH_GLOB. Handling time: 1. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:22.648Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.650Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.650Z - Handled HASH_GLOB. Handling time: 4. Response time: 2.
[NX Daemon Server] - 2024-10-08T03:06:22.654Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.655Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.655Z - Handled HASH_GLOB. Handling time: 3. Response time: 1.
[NX Daemon Server] - 2024-10-08T03:06:22.657Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.657Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.657Z - Handled HASH_GLOB. Handling time: 1. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:22.659Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.659Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.659Z - Handled HASH_GLOB. Handling time: 1. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:22.660Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.660Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.660Z - Handled HASH_GLOB. Handling time: 0. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:22.661Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.661Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.661Z - Handled HASH_GLOB. Handling time: 0. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:22.662Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.662Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.662Z - Handled HASH_GLOB. Handling time: 0. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:22.663Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.664Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:22.664Z - Handled HASH_GLOB. Handling time: 0. Response time: 1.
[NX Daemon Server] - 2024-10-08T03:06:22.669Z - Time taken for '@nx/storybook/plugin:createDependencies' 48.25641699999687ms
[NX Daemon Server] - 2024-10-08T03:06:22.687Z - Time taken for '@nx/vite/plugin:createDependencies' 68.43837500001246ms
[NX Daemon Server] - 2024-10-08T03:06:22.710Z - [REQUEST]: Responding to the client with an error. Error when preparing serialized project graph. Failed to process project graph. Run "nx reset" to fix this. Please report the issue if you keep seeing it.
Failed to process project graph. Run "nx reset" to fix this. Please report the issue if you keep seeing it.
      An error occurred while processing files for the @nx/eslint/plugin plugin.
    - libs/shared/shadcn-ui/util/eslint.config.js: Your application tried to access jsonc-eslint-parser, but it isn't declared in your dependencies; this makes the require call ambiguous and unsound.
  
  Required package: jsonc-eslint-parser
  Required by: /Users/kb/Desktop/project/subject/libs/shared/shadcn-ui/util/
  
  Require stack:
  - /Users/kb/Desktop/project/subject/libs/shared/shadcn-ui/util/eslint.config.js
      Error: Your application tried to access jsonc-eslint-parser, but it isn't declared in your dependencies; this makes the require call ambiguous and unsound.
      
      Required package: jsonc-eslint-parser
      Required by: /Users/kb/Desktop/project/subject/libs/shared/shadcn-ui/util/
      
      Require stack:
      - /Users/kb/Desktop/project/subject/libs/shared/shadcn-ui/util/eslint.config.js
          at require$$0.Module._resolveFilename (/Users/kb/Desktop/project/subject/.pnp.cjs:32213:13)
          at Module._load (node:internal/modules/cjs/loader:985:27)
          at require$$0.Module._load (/Users/kb/Desktop/project/subject/.pnp.cjs:32104:31)
          at Module.require (node:internal/modules/cjs/loader:1235:19)
          at require (node:internal/modules/helpers:176:18)
          at Object.<anonymous> (/Users/kb/Desktop/project/subject/libs/shared/shadcn-ui/util/eslint.config.js:19:15)
          at Module._compile (node:internal/modules/cjs/loader:1376:14)
          at Module._extensions..js (node:internal/modules/cjs/loader:1435:10)
          at require$$0.Module._extensions..js (/Users/kb/Desktop/project/subject/.pnp.cjs:32256:33)
          at Module.load (node:internal/modules/cjs/loader:1207:32)
Error: This socket has been ended by the other party
    at Socket.writeAfterFIN [as write] (node:net:560:14)
    at /Users/kb/Desktop/project/subject/.yarn/unplugged/nx-virtual-282cafa129/node_modules/nx/src/daemon/server/shutdown-utils.js:71:16
    at new Promise (<anonymous>)
    at respondToClient (/Users/kb/Desktop/project/subject/.yarn/unplugged/nx-virtual-282cafa129/node_modules/nx/src/daemon/server/shutdown-utils.js:67:12)
    at respondWithErrorAndExit (/Users/kb/Desktop/project/subject/.yarn/unplugged/nx-virtual-282cafa129/node_modules/nx/src/daemon/server/shutdown-utils.js:88:11)
    at handleResult (/Users/kb/Desktop/project/subject/.yarn/unplugged/nx-virtual-282cafa129/node_modules/nx/src/daemon/server/server.js:175:60)
    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
    at async handleMessage (/Users/kb/Desktop/project/subject/.yarn/unplugged/nx-virtual-282cafa129/node_modules/nx/src/daemon/server/server.js:107:9)
    at async /Users/kb/Desktop/project/subject/.yarn/unplugged/nx-virtual-282cafa129/node_modules/nx/src/daemon/server/server.js:72:9 {
  code: 'EPIPE'
}
[NX Daemon Server] - 2024-10-08T03:06:22.714Z - Done responding to the client null
[NX Daemon Server] - 2024-10-08T03:06:22.714Z - Handled REQUEST_PROJECT_GRAPH. Handling time: 2642. Response time: 4.
[NX Daemon Server] - 2024-10-08T03:06:22.714Z - Time taken for 'total execution time for createProjectGraph()' 90.84900000000198ms
[NX Daemon Server] - 2024-10-08T03:06:25.098Z - Time taken for 'build-project-configs' 2501.1409580000036ms
[NX Daemon Server] - 2024-10-08T03:06:25.121Z - Time taken for '@nx/vite/plugin:createDependencies' 25.99604100000579ms
[NX Daemon Server] - 2024-10-08T03:06:25.136Z - [REQUEST]: Responding to the client with an error. Error when preparing serialized project graph. Failed to process project graph. Run "nx reset" to fix this. Please report the issue if you keep seeing it.
Failed to process project graph. Run "nx reset" to fix this. Please report the issue if you keep seeing it.
      An error occurred while processing files for the @nx/eslint/plugin plugin.
    - libs/shared/shadcn-ui/util/eslint.config.js: Your application tried to access jsonc-eslint-parser, but it isn't declared in your dependencies; this makes the require call ambiguous and unsound.
  
  Required package: jsonc-eslint-parser
  Required by: /Users/kb/Desktop/project/subject/libs/shared/shadcn-ui/util/
  
  Require stack:
  - /Users/kb/Desktop/project/subject/libs/shared/shadcn-ui/util/eslint.config.js
      Error: Your application tried to access jsonc-eslint-parser, but it isn't declared in your dependencies; this makes the require call ambiguous and unsound.
      
      Required package: jsonc-eslint-parser
      Required by: /Users/kb/Desktop/project/subject/libs/shared/shadcn-ui/util/
      
      Require stack:
      - /Users/kb/Desktop/project/subject/libs/shared/shadcn-ui/util/eslint.config.js
          at require$$0.Module._resolveFilename (/Users/kb/Desktop/project/subject/.pnp.cjs:32213:13)
          at Module._load (node:internal/modules/cjs/loader:985:27)
          at require$$0.Module._load (/Users/kb/Desktop/project/subject/.pnp.cjs:32104:31)
          at Module.require (node:internal/modules/cjs/loader:1235:19)
          at require (node:internal/modules/helpers:176:18)
          at Object.<anonymous> (/Users/kb/Desktop/project/subject/libs/shared/shadcn-ui/util/eslint.config.js:19:15)
          at Module._compile (node:internal/modules/cjs/loader:1376:14)
          at Module._extensions..js (node:internal/modules/cjs/loader:1435:10)
          at require$$0.Module._extensions..js (/Users/kb/Desktop/project/subject/.pnp.cjs:32256:33)
          at Module.load (node:internal/modules/cjs/loader:1207:32)
[NX Daemon Server] - 2024-10-08T03:06:25.139Z - Time taken for 'total execution time for createProjectGraph()' 39.633791999993264ms
[NX Daemon Server] - 2024-10-08T03:06:25.150Z - Done responding to the client null
[NX Daemon Server] - 2024-10-08T03:06:25.150Z - Handled REQUEST_PROJECT_GRAPH. Handling time: 2551. Response time: 14.
[NX Daemon Server] - 2024-10-08T03:06:25.156Z - [REQUEST]: Client Request for Project Graph Received
[NX Daemon Server] - 2024-10-08T03:06:25.156Z - [REQUEST]: Updated workspace context based on watched changes, recomputing project graph...
[NX Daemon Server] - 2024-10-08T03:06:25.156Z - [REQUEST]: 
[NX Daemon Server] - 2024-10-08T03:06:25.156Z - [REQUEST]: 
[NX Daemon Server] - 2024-10-08T03:06:25.183Z - Time taken for 'hash changed files from watcher' 0.1743339999957243ms
[NX Daemon Server] - 2024-10-08T03:06:25.187Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:25.187Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:25.187Z - Handled HASH_GLOB. Handling time: 3. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:25.188Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:25.189Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:25.189Z - Handled HASH_GLOB. Handling time: 1. Response time: 1.
[NX Daemon Server] - 2024-10-08T03:06:25.190Z - [REQUEST]: Responding to the client. handleGlob
[NX Daemon Server] - 2024-10-08T03:06:25.190Z - Done responding to the client handleGlob
[NX Daemon Server] - 2024-10-08T03:06:25.190Z - Handled GLOB. Handling time: 1. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:25.191Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:25.191Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:25.191Z - Handled HASH_GLOB. Handling time: 0. Response time: 0.
[NX Daemon Server] - 2024-10-08T03:06:25.194Z - [REQUEST]: Responding to the client. handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:25.194Z - Done responding to the client handleHashGlob
[NX Daemon Server] - 2024-10-08T03:06:25.194Z - Handled HASH_GLOB. Handling time: 2. Response time: 0.
